OTU	X2016_Igg_35B_1LAug	X2016_Igg_35B_1LJuli	X2016_Igg_35B_1LJuni	X2016_Igg_35B_1LMai	X2016_Igg_35B_1LSep	X2016_Igg_35B_2LAug	X2016_Igg_35B_2LJuli	X2016_Igg_35B_2LJuni	X2016_Igg_35B_2LMai	X2016_Igg_35B_2LSep	X2016_Jos_21_1LAug	X2016_Jos_21_1LJuli	X2016_Jos_21_1LJuni	X2016_Jos_21_1LMai	X2016_Jos_21_1LSep	X2016_Jos_21_2LAug	X2016_Jos_21_2LJuli	X2016_Jos_21_2LJuni	X2016_Jos_21_2LMai	X2016_Jos_21_2LSep	X2016_Sal_25_1LAug	X2016_Sal_25_1LJuli	X2016_Sal_25_1LJuni	X2016_Sal_25_1LMai	X2016_Sal_25_1LSep	X2016_Sal_25_2LAug	X2016_Sal_25_2LJuli	X2016_Sal_25_2LJuni	X2016_Sal_25_2LMai	X2016_Sal_25_2LSep	X2016_T1_02B_1LAug	X2016_T1_02B_1LJuli	X2016_T1_02B_1LJuni	X2016_T1_02B_1LMai	X2016_T1_02B_1LSep	X2016_T1_02B_2LAug	X2016_T1_02B_2LJuli	X2016_T1_02B_2LJuni	X2016_T1_02B_2LMai	X2016_T1_02B_2LSep	X2016_T1_34B_1LAug	X2016_T1_34B_1LJuli	X2016_T1_34B_1LJuni	X2016_T1_34B_1LMai	X2016_T1_34B_1LSep	X2016_T1_34B_2LAug	X2016_T1_34B_2LJuli	X2016_T1_34B_2LJuni	X2016_T1_34B_2LMai	X2016_T1_34B_2LSep	X2016_T1_52B_1LAug	X2016_T1_52B_1LJuli	X2016_T1_52B_1LJuni	X2016_T1_52B_1LMai	X2016_T1_52B_1LSep	X2016_T1_52B_2LAug	X2016_T1_52B_2LJuli	X2016_T1_52B_2LJuni	X2016_T1_52B_2LMai	X2016_T1_52B_2LSep	X2016_T1_63B_1LAug	X2016_T1_63B_1LJuli	X2016_T1_63B_1LJuni	X2016_T1_63B_1LMai	X2016_T1_63B_1LSep	X2016_T1_63B_2LAug	X2016_T1_63B_2LJuli	X2016_T1_63B_2LJuni	X2016_T1_63B_2LMai	X2016_T1_63B_2LSep	X2016_T3_50B_1LAug	X2016_T3_50B_1LJuli	X2016_T3_50B_1LJuni	X2016_T3_50B_1LMai	X2016_T3_50B_1LSep	X2016_T3_50B_2LAug	X2016_T3_50B_2LJuli	X2016_T3_50B_2LJuni	X2016_T3_50B_2LMai	X2016_T3_50B_2LSep	X2016_T4_64B_1LAug	X2016_T4_64B_1LJuli	X2016_T4_64B_1LJuni	X2016_T4_64B_1LMai	X2016_T4_64B_1LSep	X2016_T4_64B_2LAug	X2016_T4_64B_2LJuli	X2016_T4_64B_2LJuni	X2016_T4_64B_2LMai	X2016_T4_64B_2LSep	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_18669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	NA	NA
OTU_9411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA
OTU_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA
OTU_1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA
OTU_10241	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA
OTU_1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	Syrphidae	NA	NA
OTU_10336	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA
OTU_10345	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA
OTU_10376	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	NA	NA
OTU_1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA
